 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	10/29/2013 12:50:47 PM
StationID:	2013-29-10_b
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)
1/1/1981	188.245484503672	0.50456057739479	8.64952269927944E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.5930913859525	5.19971895174327E-05	102.808503315536	0.524233505503153	340.187401683097	4.98593685991378E-05
1/2/1981	183.078234536691	0.490655493984803	8.64952271679081E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.6349334911599	3.26346361253805E-05	132.066327075019	2.97678237594826	340.707781638619	4.85789246077537E-05
1/3/1981	178.187129218009	0.477510018166751	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.6767755963673	2.16312009055521E-05	135.325382798793	0.376905572377425	341.214110168842	4.73341165586418E-05
1/4/1981	173.533991558537	0.465010027686285	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.7186177015748	7.1699565792974E-05	168.794754266817	3.39793714680242	341.707097593012	4.61179806045192E-05
1/5/1981	169.12729400095	0.453174733974129	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.7604598067823	0.000149685616208672	168.284754266817	0	342.187444817988	4.49355335247706E-05
1/6/1981	164.961843473584	0.441988845207158	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.8023019119897	2.02080930845189E-05	167.774754266817	0	342.655657614709	4.37886691919425E-05
1/7/1981	160.96306806718	0.431251021540698	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.8441440171971	0.000360623473784341	263.057897251562	9.57931429847448	343.112728149167	4.26601159684432E-05
1/8/1981	157.180179617373	0.421092830484794	2.05720144905526E-06	0	0.00113843996034761	3.31010541320106E-06	1E-07	1E-07	44.8859849817937	0.000103428779139218	262.547897251562	0	343.558402438943	4.15658090935364E-05
1/9/1981	153.605975721122	0.411498360912219	2.05725557708417E-06	0	0.00113843996034761	3.31010541320106E-06	1E-07	1E-07	44.9225827843055	7.5591809644049E-05	262.037897251562	0	343.99388803932	4.05005514894746E-05
1/10/1981	150.187487337224	0.402324460778289	8.65006402165481E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	0.00178678034052203	261.527897251562	0	344.407865987161	3.94533942172503E-05
1/11/1981	147.26973220745	0.394495785061086	8.6495227413668E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	8.62026471386854E-05	261.017897251562	0	344.782681539587	3.8541150675957E-05
1/12/1981	144.410108931043	0.386820324808426	8.64952271679272E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	9.21482925667464E-05	260.507897251562	0	345.150595571549	3.76330748155081E-05
1/13/1981	141.649417152704	0.379410314112798	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	0.000125742691652603	259.997897251562	0	345.510517780813	3.67393123232702E-05
1/14/1981	139.13481272251	0.372662286183827	8.6495227167916E-07	0	0.00113963226365547	3.31054153608367E-06	1E-07	1E-07	44.9457102392657	8.00814448279319E-05	259.487897251562	0	345.863112866436	3.59078011044948E-05
1/15/1981	136.466429513926	0.365499078522107	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	0.000532147211247674	258.977897251562	0	346.208270019828	3.50123623144988E-05
1/16/1981	134.186235205322	0.359381439500795	8.6495227167916E-07	0	0.00113963226365547	3.31054153608367E-06	1E-07	1E-07	44.9457102392657	8.08374248036434E-05	283.790854046321	2.53229567947593	346.546247419957	3.42293446779271E-05
1/17/1981	131.69701007284	0.352699604390464	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	0.001850945091335	321.799504175636	3.85186501293152	346.878720807924	3.33632496808616E-05
1/18/1981	129.476435241393	0.346741600564892	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	0.000538000743666263	321.289504175636	0	347.202168186375	3.25746033713726E-05
1/19/1981	127.382856298076	0.341124529380272	8.6495227167916E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	9.87559180289146E-05	320.779504175636	0	347.520404482432	3.18174011401082E-05
1/20/1981	127.735508119837	0.339569650868642	0.000102918274577568	0	0.0123848947321725	3.62148318117825E-05	0.661118483084712	0.661118483084712	44.9457102392657	0.0203249262812262	308.584260407936	0	347.344225017546	3.15775309162358E-05
1/21/1981	130.820534808787	0.347327592237937	8.65891920515299E-05	0	0.0113635765626284	3.32084968004313E-05	0.655334707060223	0.655334707060223	44.9457102392657	0.000809017854310844	296.910860661417	0	347.190622803279	3.251917586827E-05
1/22/1981	128.170497264127	0.342327510195729	5.70120847402412E-07	0	0.00092212712791216	2.6787134798395E-06	0.581357862881243	0.581357862881243	44.9457102392657	0.000103493767178926	290.684806796511	0	347.518878755517	3.18220188965922E-05
1/23/1981	127.119715657425	0.339164356259802	2.07771639108518E-05	0	0.00557735981016953	1.62441280514225E-05	0.616187047635894	0.616187047635894	44.9457102392657	0.000515513752490198	282.019736380947	0	347.634168616234	3.13799669227478E-05
1/24/1981	135.929357841442	0.357068254724641	0.000576869379063724	3.08857261326326E-05	0.0291559383790054	8.60977449600211E-05	0.590453932586251	0.590453932586251	44.9457102392657	0.0020513569715982	271.288267028871	0.846864966464303	346.685977387022	3.3603243910053E-05
1/25/1981	141.115599456316	0.369228150558522	0.000590787186157466	0	0.0295014673413016	8.71419120984087E-05	0.602340781810757	0.602340781810757	44.9457102392657	0.00376104054283712	259.320305766565	0.75117495358278	345.733723386547	3.49791057120047E-05
1/26/1981	145.588525216105	0.382258373487435	0.000365410390212581	0	0.0232504662927578	6.84235173251378E-05	0.769939108005985	0.769939108005985	44.9457102392657	0.0377417815085798	241.060707064855	0	345.112258674885	3.64195559614478E-05
1/27/1981	154.04741946197	0.403718448526333	0.000585002859269291	0	0.0293583498260178	8.67119043924968E-05	0.833060785560818	0.833060785560818	44.9457102392657	0.00437417472556034	219.340419242723	0	344.171310329979	3.87474391121771E-05
1/28/1981	161.227683074747	0.423862564026972	0.000414304612029755	0	0.0247447847690326	7.28855737753873E-05	0.790315177371944	0.790315177371944	44.9457102392657	0.00237910922118924	200.186974914093	0	343.491844710711	4.08050869184199E-05
1/29/1981	163.224049743774	0.431171642107407	0.000210848289753161	0	0.017694439181068	5.19021987608601E-05	0.728340394423582	0.728340394423582	44.9457102392657	0.045553823982973	184.896964871858	0	343.183144672554	4.14854217673269E-05
1/30/1981	161.975043949362	0.432155920401441	8.74485500452123E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	0.000208770605712763	201.584095200592	1.71971303287339	343.549279416347	4.15389348886699E-05
1/31/1981	158.015948290177	0.422849839342588	8.64952704487077E-07	0	0.00113963226365547	3.31054153608366E-06	1E-07	1E-07	44.9457102392657	0.00114928456172798	201.074095200592	0	343.945279274539	4.05635742308157E-05
2/1/1981	155.488071364538	0.418148658335942	3.92687920315884E-11	0	0	0	0.552504755854828	0.545892244925663	44.6500067735416	0	198.506082299285	0	344.386056843816	4.00645716597514E-05
2/2/1981	1779.93478774942	2.69811982953439	0.398555372921449	1.46296573264483	0.599865326926688	0.00542220763723424	0.946153809625244	0.946153809625244	44.9457102392657	0.0352037648567117	154.39568157336	41.1825346747693	304.014886159069	0.00052158612653124
2/3/1981	2119.35972573086	5.18188610238203	0.191623058011675	0.0464877106100014	0.152705226176015	0.00482739674688485	0.739891549142985	0.739891549142985	44.9457102392657	0.34143148781036	129.380059582847	13.6353104173022	293.650090197679	0.00105375983591314
